Array length,QuickSort,MeanOf3,BitterEnd,Hoare,BestBitterEndNumber
166,9882,10350,3003,14319,16.390625
167,9852,10393,2842,14132,15.0859375
168,9929,10484,2889,14343,15.7421875
169,10013,10534,2939,14323,17.046875
170,10140,10614,2956,14520,16.953125
171,10120,10664,2963,14463,16.3046875
172,10277,10818,2989,14750,16.703125
173,10210,10798,3153,14720,17.0390625
174,10343,10921,3026,14971,16.734375
175,10364,10961,3190,14810,17.3828125
176,10544,11062,3293,15048,16.3359375
177,10454,11038,3090,14977,16.171875
178,10674,11252,3086,15609,16.03125
179,10681,11229,3197,15402,17.109375
180,10734,11275,3180,15719,16.578125
181,10754,11326,3193,15422,16.15625
182,10868,11412,3230,15625,16.296875
183,10945,11556,3270,15769,16.6484375
184,11015,11606,3360,15983,17.3984375
185,11112,11727,3377,15746,16.8671875
186,11122,11713,3367,15993,16.859375
187,11182,11723,3394,16113,16.4375
188,11189,11793,3380,16043,17.3671875
189,11366,11967,3441,16381,16.890625
190,11386,11984,3434,16224,17.3984375
191,11432,12021,3484,16461,17.0859375
192,11579,12161,3514,16561,16.8828125
193,11556,12221,3551,16641,16.515625
194,11683,12248,3507,16772,16.390625
195,11723,12295,3561,16665,16.421875
196,11777,12371,3681,16865,18.2890625
197,11867,12472,3684,17025,18.8359375
198,11907,12498,3651,17015,17.15625
199,11991,12522,3674,17152,17.1640625
200,12114,12642,3681,17286,17.25
201,12067,12756,3658,17483,17.8671875
202,12248,12859,3908,17473,17.7109375
203,12264,12839,3795,17473,18.4375
204,12315,12966,3818,17590,18.171875
205,12468,13083,3812,18061,17.265625
206,12391,13090,3888,17770,17.171875
207,12548,13227,3922,18008,17.28125
208,12602,13233,3975,17911,17.7109375
209,12635,13290,3918,18151,17.5859375
210,12736,13367,3992,18145,17.375
211,12799,13491,4139,18188,18.484375
212,12879,13487,4132,18322,17.1640625
213,12939,13571,4089,18348,17.203125
214,13006,13614,4065,18512,17.1171875
215,13190,13721,4306,18616,17.515625
216,13143,13811,4105,18696,16.84375
217,13237,13831,4182,18793,17.8125
218,13350,13928,4206,18863,17.6953125
219,13327,14008,4583,19037,18.1015625
220,13451,14079,4242,19074,17.734375
221,13394,14052,4369,19114,17.5703125
222,13501,14222,4369,19264,17.796875
223,13628,14249,4393,19398,17.9140625
224,13654,14333,4520,19434,18.1875
225,13758,14386,4379,19471,18.15625
226,13825,14730,4379,19608,18.328125
227,13821,14466,4523,19772,18.3125
228,13982,14647,4463,19839,18.0546875
229,14199,14847,4553,20106,17.9375
230,14135,14750,4620,20036,17.7421875
231,14176,14824,4630,20099,17.984375
232,14293,14887,4607,20233,17.6640625
233,14376,14951,4737,20293,17.8515625
234,14399,14974,4734,20420,18.796875
235,14480,15098,4840,20437,18.65625
236,14443,15205,4734,20460,17.984375
237,14560,15261,4740,20600,19.5546875
238,14613,15302,4830,20707,18.7578125
239,14697,15308,4764,20844,19.328125
240,14760,15438,4817,20948,18.9765625
241,14840,15545,4891,20968,17.546875
242,14944,15579,5071,21055,19.0078125
243,14997,15689,5051,21245,19.03125
244,15094,15709,5018,21342,18.859375
245,15221,15833,4997,21573,17.8671875
246,15168,15873,5101,21492,19.671875
247,15228,15900,5121,21633,19.6796875
